case,rc,fault,rc_present,rc_ratio,worst,worst_ratio,rc_is_worst,max_ratio,rc_rank,n_svc
ts-order-service_socket/2,ts-order-service,socket,True,9.13439166734351,ts-order-service,9.13439166734351,True,9.13439166734351,1,21
ts-order-service_socket/3,ts-order-service,socket,True,7.533232357170187,ts-order-service,7.533232357170187,True,7.533232357170187,1,28
ts-route-service_cpu/1,ts-route-service,cpu,True,9.985372401249498,ts-route-service,9.985372401249498,True,9.985372401249498,1,28
ts-route-service_cpu/2,ts-route-service,cpu,True,8.087094763347906,ts-route-service,8.087094763347906,True,8.087094763347906,1,21
ts-route-service_cpu/3,ts-route-service,cpu,True,9.473586084175512,ts-route-service,9.473586084175512,True,9.473586084175512,1,21
ts-route-service_delay/1,ts-route-service,delay,True,53.94132754400072,ts-route-service,53.94132754400072,True,53.94132754400072,1,28
ts-route-service_delay/2,ts-route-service,delay,True,87.07391350536636,ts-route-service,87.07391350536636,True,87.07391350536636,1,28
ts-route-service_delay/3,ts-route-service,delay,True,83.76052848928445,ts-route-service,83.76052848928445,True,83.76052848928445,1,28
ts-route-service_disk/1,ts-route-service,disk,True,0.6792426173331716,ts-admin-travel-service,1.607689212199858,False,1.607689212199858,25,28
ts-route-service_disk/2,ts-route-service,disk,True,9.659985440922691,ts-route-service,9.659985440922691,True,9.659985440922691,1,28
ts-route-service_disk/3,ts-route-service,disk,True,2.8930692940392353,ts-route-service,2.8930692940392353,True,2.8930692940392353,1,28
ts-route-service_loss/1,ts-route-service,loss,True,13.318029632824409,ts-route-service,13.318029632824409,True,13.318029632824409,1,28
ts-route-service_loss/2,ts-route-service,loss,True,22.276956785223497,ts-route-service,22.276956785223497,True,22.276956785223497,1,28
ts-route-service_loss/3,ts-route-service,loss,True,8.99037033132282,ts-route-service,8.99037033132282,True,8.99037033132282,1,28
ts-route-service_mem/1,ts-route-service,mem,True,13.438258277643248,ts-route-service,13.438258277643248,True,13.438258277643248,1,28
ts-route-service_mem/2,ts-route-service,mem,True,12.078621403386855,ts-route-service,12.078621403386855,True,12.078621403386855,1,28
ts-route-service_mem/3,ts-route-service,mem,True,18.56476057191417,ts-route-service,18.56476057191417,True,18.56476057191417,1,28
ts-route-service_socket/1,ts-route-service,socket,True,10.360061148042282,ts-route-service,10.360061148042282,True,10.360061148042282,1,28
ts-route-service_socket/2,ts-route-service,socket,True,5.657273988913694,ts-route-service,5.657273988913694,True,5.657273988913694,1,28
ts-route-service_socket/3,ts-route-service,socket,True,17.68966553137387,ts-route-service,17.68966553137387,True,17.68966553137387,1,28
ts-train-service_cpu/1,ts-train-service,cpu,True,7.604080218038079,ts-train-service,7.604080218038079,True,7.604080218038079,1,28
ts-train-service_cpu/2,ts-train-service,cpu,True,7.813706836904487,ts-train-service,7.813706836904487,True,7.813706836904487,1,28
ts-train-service_cpu/3,ts-train-service,cpu,True,7.348105066404173,ts-train-service,7.348105066404173,True,7.348105066404173,1,28
ts-train-service_delay/1,ts-train-service,delay,True,91.58454734752607,ts-train-service,91.58454734752607,True,91.58454734752607,1,28
ts-train-service_delay/2,ts-train-service,delay,True,93.704167624607,ts-train-service,93.704167624607,True,93.704167624607,1,28
ts-train-service_delay/3,ts-train-service,delay,True,93.3359930052867,ts-train-service,93.3359930052867,True,93.3359930052867,1,28
ts-train-service_disk/1,ts-train-service,disk,True,6.58751664955869,ts-train-service,6.58751664955869,True,6.58751664955869,1,28
ts-train-service_disk/2,ts-train-service,disk,True,7.514558606209051,ts-train-service,7.514558606209051,True,7.514558606209051,1,28
ts-train-service_disk/3,ts-train-service,disk,True,6.662419847811555,ts-train-service,6.662419847811555,True,6.662419847811555,1,28
ts-train-service_loss/1,ts-train-service,loss,True,20.169039882834912,ts-train-service,20.169039882834912,True,20.169039882834912,1,28
ts-train-service_loss/2,ts-train-service,loss,True,19.902873818142105,ts-train-service,19.902873818142105,True,19.902873818142105,1,28
ts-train-service_loss/3,ts-train-service,loss,True,20.231278176505885,ts-train-service,20.231278176505885,True,20.231278176505885,1,28
ts-train-service_mem/1,ts-train-service,mem,True,31.97127895915166,ts-train-service,31.97127895915166,True,31.97127895915166,1,28
ts-train-service_mem/2,ts-train-service,mem,True,5.265847439701459,ts-train-service,5.265847439701459,True,5.265847439701459,1,28
ts-train-service_mem/3,ts-train-service,mem,True,10.771891492771497,ts-train-service,10.771891492771497,True,10.771891492771497,1,28
ts-train-service_socket/1,ts-train-service,socket,True,9.714440621542037,ts-train-service,9.714440621542037,True,9.714440621542037,1,28
ts-train-service_socket/2,ts-train-service,socket,True,9.064566712536664,ts-train-service,9.064566712536664,True,9.064566712536664,1,28
ts-train-service_socket/3,ts-train-service,socket,True,4.733801276610334,ts-train-service,4.733801276610334,True,4.733801276610334,1,28
ts-travel-service_cpu/1,ts-travel-service,cpu,True,1.505973895701145,ts-travel-service,1.505973895701145,True,1.505973895701145,1,28
ts-travel-service_cpu/2,ts-travel-service,cpu,True,1.841095821790572,ts-seat-service,3.173432517777405,False,3.173432517777405,4,28
ts-travel-service_cpu/3,ts-travel-service,cpu,True,2.4347457001235124,ts-food-service,3.2986063316689522,False,3.2986063316689522,3,28
ts-travel-service_delay/1,ts-travel-service,delay,True,23.96798060438804,ts-seat-service,30.121093069216258,False,30.121093069216258,3,28
ts-travel-service_delay/2,ts-travel-service,delay,True,22.642590160062756,ts-seat-service,28.34512969778064,False,28.34512969778064,2,28
ts-travel-service_delay/3,ts-travel-service,delay,True,27.553966408653203,ts-travel-service,27.553966408653203,True,27.553966408653203,1,28
ts-travel-service_disk/1,ts-travel-service,disk,True,1.3334209813804945,ts-food-service,1.847423712658074,False,1.847423712658074,5,28
ts-travel-service_disk/2,ts-travel-service,disk,True,0.7356778652140984,ts-admin-travel-service,1.6209879037174713,False,1.6209879037174713,20,21
ts-travel-service_disk/3,ts-travel-service,disk,True,2.3779602698016613,ts-travel-service,2.3779602698016613,True,2.3779602698016613,1,21
ts-travel-service_loss/1,ts-travel-service,loss,True,3.777870408707032,ts-admin-travel-service,4.557422691773625,False,4.557422691773625,4,28
ts-travel-service_loss/2,ts-travel-service,loss,True,4.486484850082446,ts-food-service,5.728956205548093,False,5.728956205548093,3,28
ts-travel-service_loss/3,ts-travel-service,loss,True,3.6191119548953106,ts-admin-travel-service,5.6910428873269385,False,5.6910428873269385,4,28
ts-travel-service_mem/1,ts-travel-service,mem,True,4.687460468216415,ts-food-service,9.892570949694436,False,9.892570949694436,3,28
ts-travel-service_mem/2,ts-travel-service,mem,True,5.9341779296610975,ts-food-service,11.972763852837796,False,11.972763852837796,2,28
ts-travel-service_mem/3,ts-travel-service,mem,True,3.770589409053672,ts-food-service,4.172245158855731,False,4.172245158855731,2,28
ts-travel-service_socket/1,ts-travel-service,socket,True,4.885230746161704,ts-travel-service,4.885230746161704,True,4.885230746161704,1,21
ts-travel-service_socket/2,ts-travel-service,socket,True,2.0397168021675367,ts-travel-service,2.0397168021675367,True,2.0397168021675367,1,28
ts-travel-service_socket/3,ts-travel-service,socket,True,3.93199983024507,ts-travel-service,3.93199983024507,True,3.93199983024507,1,28
