system,case_id,case_dir,rc_service,fault_type,cell_id,seed,n_nodes_secondary,n_isolated_added,rc_in_candidates,naive_rank,n_components,max_mcse,S_graph_comp_rank,S_graph_node_rank,S_graph_rc_comp_size,S_full_comp_rank,S_full_node_rank,S_full_rc_comp_size,secs
OB,OB/currencyservice_mem/3,/home/user/data/RE2/RE2-OB/currencyservice_mem/3,currencyservice,mem,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,2138243226,7,0,True,1,7,0.0011115635356897058,1.0,1.0,1.0,1,1,1,2.23
OB,OB/currencyservice_socket/1,/home/user/data/RE2/RE2-OB/currencyservice_socket/1,currencyservice,socket,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,3211603617,7,0,True,3,7,0.0011117100768073482,4.0,4.0,1.0,3,3,1,2.53
OB,OB/currencyservice_socket/2,/home/user/data/RE2/RE2-OB/currencyservice_socket/2,currencyservice,socket,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,1209259128,7,0,True,4,7,0.0011109654850061726,1.0,1.0,1.0,1,1,1,2.4
OB,OB/currencyservice_socket/3,/home/user/data/RE2/RE2-OB/currencyservice_socket/3,currencyservice,socket,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,65970131,7,0,True,3,7,0.0011117791502249896,1.0,1.0,1.0,1,1,1,2.36
OB,OB/emailservice_cpu/1,/home/user/data/RE2/RE2-OB/emailservice_cpu/1,emailservice,cpu,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,3831795093,7,0,True,1,7,0.0011113614240538495,4.0,4.0,1.0,2,2,1,2.33
OB,OB/emailservice_cpu/2,/home/user/data/RE2/RE2-OB/emailservice_cpu/2,emailservice,cpu,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,933393080,7,0,True,1,7,0.0011115780246455935,1.0,1.0,1.0,1,1,1,2.42
OB,OB/emailservice_cpu/3,/home/user/data/RE2/RE2-OB/emailservice_cpu/3,emailservice,cpu,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,2860151263,7,0,True,1,7,0.0011111524375620116,1.0,1.0,1.0,1,1,1,2.6
OB,OB/emailservice_delay/1,/home/user/data/RE2/RE2-OB/emailservice_delay/1,emailservice,delay,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,269860091,7,0,True,1,7,0.0011114238523173775,1.0,1.0,1.0,1,1,1,2.52
OB,OB/emailservice_delay/2,/home/user/data/RE2/RE2-OB/emailservice_delay/2,emailservice,delay,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,1133513530,7,0,True,1,7,0.0011120551029512882,1.0,1.0,1.0,1,1,1,2.5
OB,OB/emailservice_delay/3,/home/user/data/RE2/RE2-OB/emailservice_delay/3,emailservice,delay,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,2688176333,7,0,True,1,7,0.0011111462049950944,1.0,1.0,1.0,1,1,1,2.49
