system,case_id,case_dir,rc_service,fault_type,param_a,param_b,param_p_base,param_p_shared,cell_id,n_sim,seed,n_spans,traced_services,n_nodes,n_edges,acyclic,shared,inject_time,n_observed_services,rc_in_graph,naive_rank,n_components,condensation_nontrivial,max_mcse,S_graph_comp_rank,S_graph_comp_tie,S_graph_node_rank,S_graph_rc_comp_size,S_graph_nodes_tied,S_graph_exp_rank_random,S_full_comp_rank,S_full_comp_tie,S_full_node_rank,S_full_rc_comp_size,S_full_nodes_tied,S_full_exp_rank_random,S_graph_meanagg_comp_rank,S_graph_meanagg_comp_tie,S_graph_meanagg_node_rank,S_graph_meanagg_rc_comp_size,S_graph_meanagg_nodes_tied,S_graph_meanagg_exp_rank_random,secs
OB,OB/currencyservice_cpu/3,/home/user/data/RE2/RE2-OB/currencyservice_cpu/3,currencyservice,cpu,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,1426535756,403800,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705687618,10,True,3,7,0,0.001115419359198593,3,1,3,1,1,3.0,2,1,2,1,1,2.0,3,1,3,1,1,3.0,2.23
OB,OB/currencyservice_delay/1,/home/user/data/RE2/RE2-OB/currencyservice_delay/1,currencyservice,delay,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,1100131321,383583,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705702012,10,True,3,7,0,0.0011153917114068044,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1.8
OB,OB/currencyservice_delay/2,/home/user/data/RE2/RE2-OB/currencyservice_delay/2,currencyservice,delay,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,3936000448,385915,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705704343,10,True,1,7,0,0.0011154285427023105,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1.93
OB,OB/currencyservice_delay/3,/home/user/data/RE2/RE2-OB/currencyservice_delay/3,currencyservice,delay,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,3049897055,379232,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705706604,10,True,1,7,0,0.0011153383119036125,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1.81
OB,OB/currencyservice_disk/1,/home/user/data/RE2/RE2-OB/currencyservice_disk/1,currencyservice,disk,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,1522585868,361288,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705386669,10,True,1,7,0,0.00111526312500683,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1.73
OB,OB/currencyservice_disk/2,/home/user/data/RE2/RE2-OB/currencyservice_disk/2,currencyservice,disk,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,3100992425,396097,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705692434,10,True,3,7,0,0.0011153188319377558,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1.87
OB,OB/currencyservice_disk/3,/home/user/data/RE2/RE2-OB/currencyservice_disk/3,currencyservice,disk,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,3006362189,403324,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705694833,10,True,3,7,0,0.001115281233086525,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,2.58
OB,OB/currencyservice_loss/1,/home/user/data/RE2/RE2-OB/currencyservice_loss/1,currencyservice,loss,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,2917141619,286200,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705388941,10,True,1,7,0,0.0011154285427023105,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1.46
OB,OB/currencyservice_loss/2,/home/user/data/RE2/RE2-OB/currencyservice_loss/2,currencyservice,loss,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,2121848120,365309,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705708871,10,True,1,7,0,0.001115500673240496,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1.99
OB,OB/currencyservice_loss/3,/home/user/data/RE2/RE2-OB/currencyservice_loss/3,currencyservice,loss,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,3800070217,354303,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705711158,10,True,2,7,0,0.0011153970987948642,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1.82
