system,case_id,case_dir,rc_service,fault_type,CIRCA_tuned_rank,CIRCA_tuned_nsvc,n_cols_used,secs
OB,OB/currencyservice_delay/2,/home/user/data/RE2/RE2-OB/currencyservice_delay/2,currencyservice,delay,1.0,1,3,0.03
OB,OB/currencyservice_delay/3,/home/user/data/RE2/RE2-OB/currencyservice_delay/3,currencyservice,delay,1.0,1,3,0.03
OB,OB/currencyservice_disk/1,/home/user/data/RE2/RE2-OB/currencyservice_disk/1,currencyservice,disk,1.0,2,4,0.05
OB,OB/currencyservice_disk/2,/home/user/data/RE2/RE2-OB/currencyservice_disk/2,currencyservice,disk,1.0,2,4,0.03
OB,OB/currencyservice_disk/3,/home/user/data/RE2/RE2-OB/currencyservice_disk/3,currencyservice,disk,1.0,1,3,0.03
OB,OB/currencyservice_loss/1,/home/user/data/RE2/RE2-OB/currencyservice_loss/1,currencyservice,loss,4.0,10,60,0.03
OB,OB/currencyservice_loss/2,/home/user/data/RE2/RE2-OB/currencyservice_loss/2,currencyservice,loss,4.0,10,60,0.03
OB,OB/currencyservice_loss/3,/home/user/data/RE2/RE2-OB/currencyservice_loss/3,currencyservice,loss,2.0,2,4,0.03
OB,OB/currencyservice_mem/1,/home/user/data/RE2/RE2-OB/currencyservice_mem/1,currencyservice,mem,1.0,2,4,0.04
OB,OB/currencyservice_mem/2,/home/user/data/RE2/RE2-OB/currencyservice_mem/2,currencyservice,mem,1.0,2,4,0.03
OB,OB/currencyservice_mem/3,/home/user/data/RE2/RE2-OB/currencyservice_mem/3,currencyservice,mem,1.0,2,4,0.03
OB,OB/currencyservice_socket/1,/home/user/data/RE2/RE2-OB/currencyservice_socket/1,currencyservice,socket,,0,3,0.02
OB,OB/currencyservice_socket/2,/home/user/data/RE2/RE2-OB/currencyservice_socket/2,currencyservice,socket,1.0,1,3,0.03
OB,OB/currencyservice_socket/3,/home/user/data/RE2/RE2-OB/currencyservice_socket/3,currencyservice,socket,1.0,2,4,0.04
OB,OB/emailservice_cpu/1,/home/user/data/RE2/RE2-OB/emailservice_cpu/1,emailservice,cpu,1.0,1,4,0.03
OB,OB/emailservice_cpu/2,/home/user/data/RE2/RE2-OB/emailservice_cpu/2,emailservice,cpu,1.0,1,4,0.03
OB,OB/emailservice_cpu/3,/home/user/data/RE2/RE2-OB/emailservice_cpu/3,emailservice,cpu,1.0,1,4,0.03
OB,OB/emailservice_delay/1,/home/user/data/RE2/RE2-OB/emailservice_delay/1,emailservice,delay,,0,2,0.02
OB,OB/emailservice_delay/2,/home/user/data/RE2/RE2-OB/emailservice_delay/2,emailservice,delay,,0,2,0.02
OB,OB/emailservice_delay/3,/home/user/data/RE2/RE2-OB/emailservice_delay/3,emailservice,delay,5.0,10,59,0.02
OB,OB/emailservice_disk/1,/home/user/data/RE2/RE2-OB/emailservice_disk/1,emailservice,disk,5.0,10,57,0.02
OB,OB/emailservice_disk/2,/home/user/data/RE2/RE2-OB/emailservice_disk/2,emailservice,disk,1.0,1,4,0.03
OB,OB/emailservice_disk/3,/home/user/data/RE2/RE2-OB/emailservice_disk/3,emailservice,disk,1.0,1,4,0.03
OB,OB/emailservice_loss/1,/home/user/data/RE2/RE2-OB/emailservice_loss/1,emailservice,loss,5.0,10,59,0.02
OB,OB/emailservice_loss/2,/home/user/data/RE2/RE2-OB/emailservice_loss/2,emailservice,loss,1.0,2,3,0.03
OB,OB/emailservice_loss/3,/home/user/data/RE2/RE2-OB/emailservice_loss/3,emailservice,loss,,0,3,0.02
OB,OB/emailservice_mem/1,/home/user/data/RE2/RE2-OB/emailservice_mem/1,emailservice,mem,1.0,1,4,0.03
OB,OB/emailservice_mem/2,/home/user/data/RE2/RE2-OB/emailservice_mem/2,emailservice,mem,5.0,10,58,0.03
OB,OB/emailservice_mem/3,/home/user/data/RE2/RE2-OB/emailservice_mem/3,emailservice,mem,1.0,2,4,0.04
OB,OB/emailservice_socket/1,/home/user/data/RE2/RE2-OB/emailservice_socket/1,emailservice,socket,1.0,4,6,0.05
OB,OB/emailservice_socket/2,/home/user/data/RE2/RE2-OB/emailservice_socket/2,emailservice,socket,5.0,10,59,0.02
OB,OB/emailservice_socket/3,/home/user/data/RE2/RE2-OB/emailservice_socket/3,emailservice,socket,1.0,2,5,0.03
OB,OB/productcatalogservice_cpu/1,/home/user/data/RE2/RE2-OB/productcatalogservice_cpu/1,productcatalogservice,cpu,8.0,10,60,0.03
OB,OB/productcatalogservice_cpu/2,/home/user/data/RE2/RE2-OB/productcatalogservice_cpu/2,productcatalogservice,cpu,1.0,2,4,0.03
OB,OB/productcatalogservice_cpu/3,/home/user/data/RE2/RE2-OB/productcatalogservice_cpu/3,productcatalogservice,cpu,1.0,2,4,0.03
OB,OB/productcatalogservice_delay/1,/home/user/data/RE2/RE2-OB/productcatalogservice_delay/1,productcatalogservice,delay,,0,2,0.02
OB,OB/productcatalogservice_delay/2,/home/user/data/RE2/RE2-OB/productcatalogservice_delay/2,productcatalogservice,delay,,2,3,0.03
OB,OB/productcatalogservice_delay/3,/home/user/data/RE2/RE2-OB/productcatalogservice_delay/3,productcatalogservice,delay,,0,2,0.02
OB,OB/productcatalogservice_disk/1,/home/user/data/RE2/RE2-OB/productcatalogservice_disk/1,productcatalogservice,disk,1.0,1,4,0.03
OB,OB/productcatalogservice_disk/2,/home/user/data/RE2/RE2-OB/productcatalogservice_disk/2,productcatalogservice,disk,1.0,2,4,0.03
OB,OB/productcatalogservice_disk/3,/home/user/data/RE2/RE2-OB/productcatalogservice_disk/3,productcatalogservice,disk,8.0,10,69,0.03
OB,OB/productcatalogservice_loss/1,/home/user/data/RE2/RE2-OB/productcatalogservice_loss/1,productcatalogservice,loss,3.0,5,7,0.07
OB,OB/productcatalogservice_loss/2,/home/user/data/RE2/RE2-OB/productcatalogservice_loss/2,productcatalogservice,loss,3.0,4,8,0.1
OB,OB/productcatalogservice_loss/3,/home/user/data/RE2/RE2-OB/productcatalogservice_loss/3,productcatalogservice,loss,8.0,10,63,0.03
OB,OB/productcatalogservice_mem/1,/home/user/data/RE2/RE2-OB/productcatalogservice_mem/1,productcatalogservice,mem,2.0,4,6,0.05
OB,OB/productcatalogservice_mem/2,/home/user/data/RE2/RE2-OB/productcatalogservice_mem/2,productcatalogservice,mem,8.0,10,59,0.03
OB,OB/productcatalogservice_mem/3,/home/user/data/RE2/RE2-OB/productcatalogservice_mem/3,productcatalogservice,mem,1.0,3,5,0.04
OB,OB/productcatalogservice_socket/1,/home/user/data/RE2/RE2-OB/productcatalogservice_socket/1,productcatalogservice,socket,1.0,5,7,0.06
OB,OB/productcatalogservice_socket/2,/home/user/data/RE2/RE2-OB/productcatalogservice_socket/2,productcatalogservice,socket,1.0,5,9,0.09
OB,OB/productcatalogservice_socket/3,/home/user/data/RE2/RE2-OB/productcatalogservice_socket/3,productcatalogservice,socket,1.0,2,4,0.03
OB,OB/recommendationservice_cpu/1,/home/user/data/RE2/RE2-OB/recommendationservice_cpu/1,recommendationservice,cpu,1.0,1,4,0.04
OB,OB/recommendationservice_cpu/2,/home/user/data/RE2/RE2-OB/recommendationservice_cpu/2,recommendationservice,cpu,1.0,1,4,0.03
OB,OB/recommendationservice_cpu/3,/home/user/data/RE2/RE2-OB/recommendationservice_cpu/3,recommendationservice,cpu,1.0,1,4,0.03
OB,OB/recommendationservice_delay/1,/home/user/data/RE2/RE2-OB/recommendationservice_delay/1,recommendationservice,delay,,0,2,0.02
OB,OB/recommendationservice_delay/2,/home/user/data/RE2/RE2-OB/recommendationservice_delay/2,recommendationservice,delay,,0,2,0.02
OB,OB/recommendationservice_delay/3,/home/user/data/RE2/RE2-OB/recommendationservice_delay/3,recommendationservice,delay,,0,2,0.02
OB,OB/recommendationservice_disk/1,/home/user/data/RE2/RE2-OB/recommendationservice_disk/1,recommendationservice,disk,1.0,1,4,0.03
OB,OB/recommendationservice_disk/2,/home/user/data/RE2/RE2-OB/recommendationservice_disk/2,recommendationservice,disk,1.0,1,4,0.03
OB,OB/recommendationservice_disk/3,/home/user/data/RE2/RE2-OB/recommendationservice_disk/3,recommendationservice,disk,1.0,2,4,0.03
OB,OB/recommendationservice_loss/1,/home/user/data/RE2/RE2-OB/recommendationservice_loss/1,recommendationservice,loss,9.0,10,69,0.03
OB,OB/recommendationservice_loss/2,/home/user/data/RE2/RE2-OB/recommendationservice_loss/2,recommendationservice,loss,9.0,10,62,0.03
OB,OB/recommendationservice_loss/3,/home/user/data/RE2/RE2-OB/recommendationservice_loss/3,recommendationservice,loss,1.0,6,10,0.13
OB,OB/recommendationservice_mem/1,/home/user/data/RE2/RE2-OB/recommendationservice_mem/1,recommendationservice,mem,1.0,10,14,0.2
